story_id,source_file,domain,complexity,role,goal,benefit,connextra_valid,expected_test_scenarios,annotator_1_score,annotator_2_score,agreed_score,notes
US013,g27-culrepo.txt,Library Repository,Simple,researcher,to contact the author of a work that interests me,I can learn more about my research,Yes,1. Click 'Contact Author' on a paper page. 2. Fill 500-char message and submit. 3. Verify recipient gets email with correct reply-to headers.,4,3,4.0,"Clear, concise. 'Contact the author' is a standard feature. A2 noted that it doesn't specify the communication channel (email vs in-app)."
US014,g26-racdam.txt,Digital Asset Management,Simple,assistant archivist,to upload and tag staff generated working papers,staff and researchers are able to easily access them,Yes,"1. Upload 10MB PDF working paper. 2. Tag with '2026', 'Finance'. 3. Search 'Finance' and verify document is top result.",4,4,4.0,Slight disagreement on role clarity ('staff generated'). Resolved to higher score as the business value is very clear to researchers.
US015,g03-loudoun.txt,Government Services,Complex,Applicant,to Complete Building Development Project,I can receive any posted bond and/or obtain occupancy,Yes,Application form submission triggers project completion step; System validates required fields before completion; Bond released on successful completion; Occupancy permit issued after approval,3,2,2.0,Goal 'Complete Building Development Project' is extremely vague — could mean dozens of sub-tasks. Benefit (bond + occupancy) is concrete but story is too high-level to generate focused acceptance tests. Annotator 2 marked as needs decomposition.
US016,g21-badcamp.txt,Conference Management,Complex,anonymoususer,"to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link",I can shop for training all with one page AND find their class on on one page,Yes,"Training page shows all options (name, cost, dates, location, skill level, prerequisites); All classes on one page with filtering; Clicking class links to detailed class page; Page loads correctly without sign-in",4,4,4.0,Good story with multiple concrete data fields in goal. Benefit (shop + find on one page) is dual but both are measurable. Some ambiguity around 'clearly marked' — needs definition of done.
US017,parabol_blog,Parabol: Login,Simple,user,an option to stay logged in,I don't have to enter my credentials every time,Yes,"1. Check 'Stay logged in', close browser, reopen, verify session active. 2. Force session expiry on backend, verify next page load redirects to login.",2,3,3.0,Very simple utility story. 'Option to stay logged in'. Annotators gave mid-range scores due to lack of specificity on security constraints (timeout period).
US018,g02-federalspending.txt,Federal Spending,Simple,Agency user,to accurately see who created a submission,I'm not confused about who last updated a submission,Yes,Submission creator name is displayed correctly; Last updated user is shown distinctly from creator; Submission history shows both create and update events; No confusion when same user creates and updates,4,4,4.0,"Simple, clear story about data provenance. Benefit ('not confused') is business-meaningful and testable. Edge case: same user creates and updates — needs explicit test."
US019,g23-archivesspace.txt,Archives Management,Simple,Archivist,to create and edit a Resource record,Benefit not explicitly stated.,Yes,"1. Click 'New Resource', fill all mandatory fields, hit Save. 2. Edit title of existing Resource. 3. Leave 'Resource Type' blank and check inline validation error.",3,3,3.0,Missing benefit entirely. 'Create and edit a Resource record' is standard CRUD. Disagreement resolved to lower score due to missing 'Why'.
US020,parabol_blog,Parabol: Backend,Complex,developer,to create a RESTful API so that our front end can communicate with our back end,our front end can communicate with our back end,Yes,1. GET /api/v1/users returns 200 OK and valid JSON. 2. POST /api/v1/users with missing payload returns 400 Bad Request. 3. Verify JWT token authentication works on all endpoints.,2,1,1.0,"This is an architectural task ('create a RESTful API'), not a user story. Both annotators heavily penalized it. Needs to be rewritten from frontend user perspective."
US021,parabol_blog,Parabol: Online Shopping,Medium,customer,"to track my order, so I can know when to expect delivery",I can know when to expect delivery,Yes,"1. Enter order #12345, see timeline UI (Ordered -> Shipped -> Delivered). 2. Enter non-existent order #999, see 'Order not found' graphic. 3. Display estimated delivery date.",3,2,2.0,"Standard e-commerce story. 'Track my order' is clear. Acceptance criteria would need to define what statuses exist (Shipped, Transit, etc)."
US022,parabol_blog,Parabol: With Requirements,Medium,banking customer,"to transfer funds between my accounts, so I can manage my money effectively",I can manage my money effectively,Yes,"1. Transfer $50 from Checking to Savings, verify balances instantly update. 2. Attempt to transfer more than available balance (expect error). 3. Verify transaction appears in history.",3,3,3.0,Banking domain. Role is just 'user' (implicit). Story is fine but basic. A2 wanted more specifics on 'effectively' managing money.
US023,parabol_blog,Parabol: Registration,Simple,new user,to choose my own username and password during registration,I can personalize my login credentials,Yes,1. Register with username 'JohnDoe' and strong password. 2. Attempt to register 'JohnDoe' again (expect duplicate error). 3. Check password strength meter turns green.,4,4,4.0,Good registration story. Disagreement because A1 felt 'personalize login' is a weak benefit statement compared to actual security needs.
US024,parabol_blog,Parabol: Technical Debt,Complex,developer,to refactor our legacy code so that it's easier to maintain and extend,it's easier to maintain and extend,Yes,1. Run unit test suite post-refactor; expect 100% pass rate. 2. Run SonarQube; verify cyclomatic complexity reduced by 10%. 3. Smoke test core UI to ensure no regressions.,2,2,2.0,'Refactor our legacy code' - classic anti-pattern for user stories. This is a technical chore. Both annotators correctly scored this low.
US025,g12-camperplus.txt,Camping / Recreation,Simple,camp administrator,to be quickly log attendance everyday,I can track which kids are coming in,Yes,"1. Open class list, tap 'Present All'. 2. Manually toggle one student to 'Absent'. 3. Submit day's attendance and verify database timestamp.",4,4,4.0,Educational/School domain. 'Quickly log attendance'. Typo in original ('to be quickly log'). Annotators agreed it's understandable but poorly phrased.
US026,g28-zooniverse.txt,Citizen Science / Media Platform,Simple,Zooniverse admin,to know when Zoonibot should comment on a subject,Benefit not explicitly stated.,Yes,1. Trigger specific workflow rule; verify Zoonibot posts comment within 2 seconds. 2. Check Zoonibot comment contains correct markdown formatting.,3,3,3.0,Zoonibot story. Lacks benefit. 'To know when Zoonibot should comment' is vague. Score reflects the ambiguity of the trigger conditions.
US027,g13-planningpoker.txt,Agile Estimation Tooling,Simple,moderator,to change my account details,I can keep my account details up-to-date,Yes,"1. Navigate to Settings, change phone number. 2. Verify OTP is sent to new phone. 3. Old phone number cannot be used to log in.",4,4,4.0,CRUD operation. Benefit is a bit tautological ('keep details up-to-date'). Needs more specific value proposition for the user.
US028,parabol_blog,Parabol: Dashboards,Medium,frequent customer,to see product recommendations on my dashboard,I can discover new products I might like,Yes,"1. View dashboard as returning user; see 5 recommended items based on cart history. 2. View as new user; see 'Trending Now' default items. 3. Click recommendation, verify it opens product page.",4,4,4.0,Clear e-commerce recommendation story. Both agreed on high score. Suggestion: specify if recommendations are based on past purchases or browsing.
US029,parabol_blog,Parabol: With Acceptance Criteria,Medium,restaurant customer,"to reserve a table online, so I can ensure I have a place to eat at my preferred time",I can ensure I have a place to eat at my preferred time,Yes,"1. Pick June 15, 7 PM, Party of 4; verify booking confirmed. 2. Pick fully booked time; verify slot is disabled in UI. 3. Receive email confirmation.",3,3,3.0,Restaurant booking. Well structured with 'so I can'. Disagreement from A2 who wanted to know if 'preferred time' implies a calendar view UI.
US030,g16-mis.txt,Management Information System,Simple,faculty member,to add a date delimiter to a search string,"I can limit a search to return only results from before, after, or between a given date or dates",Yes,"1. Search with delimiter 'after:2025-01-01'; verify no 2024 results. 2. Search 'between:2025-01-01,2025-12-31'; check boundaries. 3. Input malformed date '2025-13-45'; see format error.",4,4,4.0,"Search feature. Benefit is highly specific and clear. Annotators loved the detail on 'before, after, or between'. Scored very well."
US031,parabol_blog,Parabol: Jira / CI-CD,Medium,product owner,to create custom workflows in Jira so that our process accurately reflects in the tool,our process accurately reflects in the tool,Yes,"1. Create custom transition 'To QA Review'. 2. Set condition 'Only QA Lead can transition'. 3. Test as Dev (fails), test as QA Lead (succeeds).",3,3,3.0,"Jira workflow customization. A1 flagged that 'accurately reflects in the tool' is a bit subjective, leading to a minor disagreement."
US032,g19-alfred.txt,Smart Home / IoT,Medium,MedicalCaregiver,"to give corrective feedback if exercises are performed wrong, too much or in any other way harmful to the user",Benefit not explicitly stated.,Yes,1. Perform squat with knees past toes; verify visual 'Corrective' prompt on screen. 2. Perform 50 reps quickly; verify 'Rest' warning triggers. 3. Verify audio feedback option can be muted.,3,3,3.0,Fitness app domain. 'Give corrective feedback' is complex but clear. A2 noted that 'in any other way harmful' is too broad for QA to test.
US033,g22-rdadmp.txt,Research Data Management (DMP),Simple,data manager,to know the security requirements of the data,I can check whether the data can be kept secure,Yes,"1. Open data asset; verify security badge ('Confidential') is visible. 2. Click badge to view detailed compliance requirements. 3. As guest user, verify highly secure assets are hidden.",4,4,4.0,"Security domain. 'Know the security requirements'. A1 found it passive. Needs an action-oriented goal (e.g., 'View security badge')."
US034,parabol_blog,Parabol: Developer Stories,Complex,developer,to implement a caching mechanism so that we can reduce page load times,we can reduce page load times,Yes,1. Load homepage (cold cache) - measure TTFB. 2. Reload homepage (warm cache) - verify TTFB < 200ms. 3. Update DB record; verify cache invalidates and UI shows new data.,2,3,2.0,"Performance task ('implement caching mechanism'). Annotators penalized it as it's an implementation detail, not a user-facing capability."
US035,g10-scrumalliance.txt,Agile / Scrum,Complex,trainer,to copy one of my courses or events,I can create a new one,Yes,"Copied course retains all fields (name, date, description, fee); Copied event appears as a new draft, not published; Original course/event unchanged after copy; Trainer can edit the copy independently",5,5,5.0,"Concise, unambiguous CRUD copy story. Role (trainer), goal (copy), benefit (create new) all clear. Positive and negative paths easy to derive. High testability."
US036,g11-nsf.txt,Research Funding (NSF),Simple,NSF employee,to learn about how Github is used,I can participate in the issues as assigned,Yes,1. Trigger 'First time user' tour on issue board. 2. Click 'Next' through all 4 steps. 3. Verify 'Help' icon links to official GitHub docs.,4,4,4.0,"GitHub usage. 'Learn about how Github is used' is not a system feature, it's a documentation need. Both scored poorly."
US037,g14-datahub.txt,Open Data Platform,Simple,Publisher,to permanently delete a data package,that it no longer takes up storage space,Yes,1. Click 'Delete Package'; see modal 'Type DELETE to confirm'. 2. Confirm; verify package vanishes from dashboard. 3. Check AWS S3 bucket to ensure actual objects are purged.,4,4,4.0,Data management. 'Permanently delete'. A1 noted it needs mention of cascading deletes or warnings. Good story otherwise.
US038,parabol_blog,Parabol: Banking Systems,Medium,customer,"to categorize my transactions, so I can better understand and manage my spending habits",I can better understand and manage my spending habits,Yes,"1. Click unassigned transaction, select 'Groceries' category. 2. Setup rule: 'All Walmart = Groceries'; verify past transactions update. 3. View pie chart with updated category totals.",3,3,3.0,"Banking/PFM. 'Categorize transactions'. Very clear 'so I can' clause. Both annotators agreed it's a solid, testable story."
US039,g25-duraspace.txt,Digital Repository (DuraSpace),Medium,repository manager,"to compose collections, limiting the collection to the items sharing the same provenance, limiting the collection to represent a part of a collection have a singular provenance, or assembly a collection from other collections and objects",Benefit not explicitly stated.,Yes,1. Select 5 items with provenance 'Batch A'; group into 'Collection A'. 2. Select 'Collection A' and 'Item B'; form 'Collection C' (nested). 3. Verify hierarchy renders correctly in tree view.,3,3,3.0,"Archive domain. Extremely verbose and complex goal ('compose collections, limiting...'). A1 penalized due to unreadable structure."
US040,g24-unibath.txt,University Research Archive,Complex,depositor,to deposit arbitrarily large files,I am not limited in what files I can and cannot deposit,Yes,"1. Initiate 50GB file upload via web UI. 2. Disconnect WiFi at 50%, reconnect, verify upload resumes. 3. Post-upload, verify file checksum matches local file.",4,4,4.0,"Archive domain. 'Arbitrarily large files' is a testing nightmare. A2 flagged this for scope definition, resulting in a mid-tier score."
US041,g05-openspending.txt,Open Data Publishing,Complex,Data Consuming User,to see textual descriptions that accompany embedded visualisations,I can more easily understand what I am viewing,Yes,Visualisation displayed with accompanying text description; Description appears adjacent to or below the chart; Description updates when visualisation data changes; Page renders correctly when no description is provided,4,3,4.0,"Clear accessibility/comprehension story. Benefit ('understand what I am viewing') is concrete. Annotator 2 noted 'textual descriptions' could mean tooltip, caption, or alt-text — ambiguity in implementation spec."
US042,g26-racdam.txt,Digital Asset Management,Medium,archivist,to track use of a photo,I know if I've sent it to a researcher before,Yes,1. View Photo Details; see 'Downloads: 14'. 2. Click count to open log; view timestamps and User IDs. 3. Export usage log to CSV.,4,4,4.0,Photo management. Benefit 'I know if I've sent it' is very practical. Both annotators gave high marks. Good real-world context.
US043,g03-loudoun.txt,Government Services,Simple,Applicant,to Submit Supporting Documentation,I can satisfy documentation requirements for my application,Yes,"1. Upload 3 PDFs (Tax Form, ID, Statement) simultaneously. 2. Attempt to upload .exe file (rejected). 3. Submit application, verify all 3 docs are attached to reviewer payload.",4,4,4.0,"Application portal. 'Submit Supporting Documentation'. Clear goal, but role is generic. Solid story overall."
US044,g16-mis.txt,Management Information System,Medium,DigitalRecords Archivist,to view and download summary embargo metadata for all ETDs in the repository,Benefit not explicitly stated.,Yes,"1. Click 'Export Embargoes'. 2. Open resulting CSV; verify columns: Title, Author, Embargo End Date. 3. Log in as student; verify export button is completely hidden.",3,2,2.0,"Missing benefit. 'View and download summary embargo metadata'. Highly specific to ETDs, but format is incomplete without the 'so that'."
US045,g18-neurohub.txt,Neuroscience Research Platform,Medium,researcher,to have the ability to attach detailed meta data to the data and entries that I create,Benefit not explicitly stated.,Yes,"1. Open entry #102; add custom field key='Source', value='Field Survey'. 2. Edit 'Source' to 'Lab Test'. 3. API query filtering by metadata key 'Source' returns correct entry.",3,2,2.0,Data entry. 'Attach detailed meta data'. A1 flagged 'detailed' as ambiguous. Resolved to lower score to encourage clarity.
US046,g19-alfred.txt,Smart Home / IoT,Simple,MedicalCaregiver,to have ALFRED to offer training for specific muscle groups,Benefit not explicitly stated.,Yes,1. Select 'Chest' from muscle group filter; see only bench press/pushup plans. 2. Verify ALFRED system generates dynamic 4-week calendar for selected group. 3. Check progress bar updates per muscle.,2,3,2.0,"Fitness domain. 'ALFRED to offer training'. 'ALFRED' is the system, not the user. Annotators penalized because it's written from system's perspective."
US047,g02-federalspending.txt,Federal Spending,Simple,user,to access the raw agency published files from FABS via USAspending,Benefit not explicitly stated.,Yes,"1. Access USAspending portal, locate FABS dataset. 2. Click 'Download Raw XML'; verify file size is non-zero. 3. Verify XML schema matches federal standard.",2,2,2.0,Data portal. 'Access raw agency published files'. Missing benefit. Straightforward but incomplete format.
US048,g18-neurohub.txt,Neuroscience Research Platform,Complex,systems administrator,to install Neurohub dependencies into an Ubuntu 10.04 LTS machine using the normal Ubuntu package management tools,Benefit not explicitly stated.,Yes,1. Run 'sudo apt-get install neurohub-deps' on clean Ubuntu 10.04 VM. 2. Run 'neurohub --version' to confirm successful launch. 3. Run on Ubuntu 22.04; verify graceful OS unsupported error.,2,2,2.0,DevOps task ('install Neurohub dependencies into Ubuntu 10.04'). Complete anti-pattern. Both annotators rejected it as a user story.
US049,g10-scrumalliance.txt,Agile / Scrum,Simple,CSM,to be charged a fee once I am approved for Practitioner status,my certification status can be activated,Yes,1. Admin sets user to 'Approved'; user receives payment link. 2. User pays $50 via Stripe; status auto-changes to 'Practitioner'. 3. Test card declined scenario; status remains 'Pending Payment'.,3,4,4.0,"Certification domain. 'Be charged a fee'. A bit weird to have a goal to be charged, but business logic makes sense. Rated well."
US050,g14-datahub.txt,Open Data Platform,Simple,Publisher,to have private data packages,I can share just with my team,Yes,1. Create package 'Q1 Data'; set to 'Private'. 2. Share via email with teammate; teammate can access. 3. Share URL with external account; verify 403 Access Denied.,4,4,4.0,Data sharing. 'Have private data packages'. Clear benefit ('share just with my team'). Annotators agreed on high value.
