story_id,source_file,domain,complexity,role,goal,benefit,connextra_valid,expected_test_scenarios,annotator_1_score,annotator_2_score,agreed_score,notes,llm_output,model_name,estimated_cost,error_log,run_timestamp
US014,g26-racdam.txt,Digital Asset Management,Simple,assistant archivist,to upload and tag staff generated working papers,staff and researchers are able to easily access them,Yes,"1. Upload 10MB PDF working paper. 2. Tag with '2026', 'Finance'. 3. Search 'Finance' and verify document is top result.",4,4,4.0,Slight disagreement on role clarity ('staff generated'). Resolved to higher score as the business value is very clear to researchers.,"### (1) Gherkin Scenarios in .feature format

```gherkin
Feature: Upload and tag staff generated working papers

  Scenario: Successfully upload and tag a working paper
    Given I am an assistant archivist
    When I upload a working paper
    And I tag the working paper with relevant tags
    Then the working paper should be available for staff and researchers
    And the working paper should be searchable by the tags

  Scenario: Upload a working paper without tags
    Given I am an assistant archivist
    When I upload a working paper without tags
    Then I should see an error message indicating that tags are required

  Scenario: Upload a working paper with invalid file format
    Given I am an assistant archivist
    When I attempt to upload a working paper with an invalid file format
    Then I should see an error message indicating that the file format is not supported

  Scenario: Search for a working paper by tag
    Given a working paper is uploaded and tagged
    When I search for the working paper using a tag
    Then I should see the working paper in the search results
```

### (2) Step Definitions in Python

```python
from behave import given, when, then

@given('I am an assistant archivist')
def step_impl(context):
    context.user_role = 'assistant archivist'

@when('I upload a working paper')
def step_impl(context):
    context.upload_status = 'success'
    context.tags = ['relevant', 'tags']

@when('I tag the working paper with relevant tags')
def step_impl(context):
    context.tag_status = 'success'

@then('the working paper should be available for staff and researchers')
def step_impl(context):
    assert context.upload_status == 'success'
    assert context.tag_status == 'success'

@then('the working paper should be searchable by the tags')
def step_impl(context):
    assert 'relevant' in context.tags
    assert 'tags' in context.tags

@when('I upload a working paper without tags')
def step_impl(context):
    context.upload_status = 'success'
    context.tags = []

@then('I should see an error message indicating that tags are required')
def step_impl(context):
    assert not context.tags
    context.error_message = 'Tags are required'
    assert context.error_message == 'Tags are required'

@when('I attempt to upload a working paper with an invalid file format')
def step_impl(context):
    context.upload_status = 'failed'
    context.error_message = 'Invalid file format'

@then('I should see an error message indicating that the file format is not supported')
def step_impl(context):
    assert context.upload_status == 'failed'
    assert context.error_message == 'Invalid file format'

@given('a working paper is uploaded and tagged')
def step_impl(context):
    context.upload_status = 'success'
    context.tags = ['relevant', 'tags']

@when('I search for the working paper using a tag')
def step_impl(context):
    context.search_results = ['working_paper_1']

@then('I should see the working paper in the search results')
def step_impl(context):
    assert 'working_paper_1' in context.search_results
```

### (3) Validation Checklist

- [ ] Verify that the user is an assistant archivist.
- [ ] Verify that a working paper can be uploaded.
- [ ] Verify that tags can be added to the working paper.
- [ ] Verify that the working paper is available for staff and researchers after upload.
- [ ] Verify that the working paper is searchable by the tags.
- [ ] Verify that an error message is shown when uploading a working paper without tags.
- [ ] Verify that an error message is shown when uploading a working paper with an invalid file format.
- [ ] Verify that a working paper can be found using a tag in the search functionality.",gpt-4o-2024-05-13,0.01259,None,2026-07-16 00:57:56
US015,g03-loudoun.txt,Government Services,Complex,Applicant,to Complete Building Development Project,I can receive any posted bond and/or obtain occupancy,Yes,Application form submission triggers project completion step; System validates required fields before completion; Bond released on successful completion; Occupancy permit issued after approval,3,2,2.0,Goal 'Complete Building Development Project' is extremely vague — could mean dozens of sub-tasks. Benefit (bond + occupancy) is concrete but story is too high-level to generate focused acceptance tests. Annotator 2 marked as needs decomposition.,"(1) Gherkin scenarios in .feature format:

```gherkin
Feature: Complete Building Development Project

  Scenario: Applicant completes the building development project
    Given the applicant has a building development project
    When the applicant completes the building development project
    Then the applicant should be able to receive any posted bond
    And the applicant should be able to obtain occupancy
```

(2) Step definitions in Python:

```python
from behave import given, when, then

@given('the applicant has a building development project')
def step_given_applicant_has_project(context):
    context.project = ""Building Development Project""

@when('the applicant completes the building development project')
def step_when_applicant_completes_project(context):
    context.project_status = ""Completed""

@then('the applicant should be able to receive any posted bond')
def step_then_receive_bond(context):
    assert context.project_status == ""Completed""
    context.bond_received = True
    assert context.bond_received is True

@then('the applicant should be able to obtain occupancy')
def step_then_obtain_occupancy(context):
    assert context.project_status == ""Completed""
    context.occupancy_obtained = True
    assert context.occupancy_obtained is True
```

(3) Validation checklist:

- [ ] Verify the applicant has a building development project.
- [ ] Verify the applicant completes the building development project.
- [ ] Verify the applicant can receive any posted bond upon project completion.
- [ ] Verify the applicant can obtain occupancy upon project completion.",gpt-4o-2024-05-13,0.005265,None,2026-07-16 00:57:57
US016,g21-badcamp.txt,Conference Management,Complex,anonymoususer,"to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link",I can shop for training all with one page AND find their class on on one page,Yes,"Training page shows all options (name, cost, dates, location, skill level, prerequisites); All classes on one page with filtering; Clicking class links to detailed class page; Page loads correctly without sign-in",4,4,4.0,Good story with multiple concrete data fields in goal. Benefit (shop + find on one page) is dual but both are measurable. Some ambiguity around 'clearly marked' — needs definition of done.,"**(1) Gherkin Scenarios in .feature format:**

```gherkin
Feature: Training options display

  Scenario: Display training options with all required information
    Given I am an anonymous user on the training page
    When I view the list of training options
    Then I should see the day and time of training for each option
    And I should see the title of each training option
    And I should see a short summary of each training option
    And I should see the trainers for each training option
    And I should see the level of each training option
    And I should see the number of registrations for each training option
    And I should see the remaining registrations for each training option
    And I should see the location of each training option
    And I should see a link to full details of each training option
    And I should see a ""register now"" link for each training option
```

**(2) Step Definitions in Python:**

```python
from behave import given, when, then

@given('I am an anonymous user on the training page')
def step_impl(context):
    context.browser.get('http://example.com/training')

@when('I view the list of training options')
def step_impl(context):
    context.training_options = context.browser.find_elements_by_class_name('training-option')

@then('I should see the day and time of training for each option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('day-time').is_displayed()

@then('I should see the title of each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('title').is_displayed()

@then('I should see a short summary of each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('summary').is_displayed()

@then('I should see the trainers for each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('trainers').is_displayed()

@then('I should see the level of each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('level').is_displayed()

@then('I should see the number of registrations for each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('registrations').is_displayed()

@then('I should see the remaining registrations for each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('remaining-registrations').is_displayed()

@then('I should see the location of each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('location').is_displayed()

@then('I should see a link to full details of each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('full-details-link').is_displayed()

@then('I should see a ""register now"" link for each training option')
def step_impl(context):
    for option in context.training_options:
        assert option.find_element_by_class_name('register-now-link').is_displayed()
```

**(3) Validation Checklist:**

- [ ] Verify the day and time of training is displayed for each training option.
- [ ] Verify the title of each training option is displayed.
- [ ] Verify a short summary of each training option is displayed.
- [ ] Verify the trainers for each training option are displayed.
- [ ] Verify the level of each training option is displayed.
- [ ] Verify the number of registrations for each training option is displayed.
- [ ] Verify the remaining registrations for each training option are displayed.
- [ ] Verify the location of each training option is displayed.
- [ ] Verify a link to full details of each training option is displayed.
- [ ] Verify a ""register now"" link for each training option is displayed.",gpt-4o-2024-05-13,0.01373,None,2026-07-16 00:58:00
US017,parabol_blog,Parabol: Login,Simple,user,an option to stay logged in,I don't have to enter my credentials every time,Yes,"1. Check 'Stay logged in', close browser, reopen, verify session active. 2. Force session expiry on backend, verify next page load redirects to login.",2,3,3.0,Very simple utility story. 'Option to stay logged in'. Annotators gave mid-range scores due to lack of specificity on security constraints (timeout period).,"### (1) Gherkin Scenarios in .feature format

```gherkin
Feature: Stay logged in option

  Scenario: User selects the 'Stay logged in' option
    Given the user is on the login page
    When the user enters valid credentials
    And the user selects the 'Stay logged in' checkbox
    And the user clicks the login button
    Then the user should be logged in
    And the 'Stay logged in' option should be enabled

  Scenario: User is automatically logged in on returning to the site
    Given the user has previously selected the 'Stay logged in' option
    And the user is not currently logged in
    When the user navigates to the site
    Then the user should be automatically logged in
```

### (2) Step Definitions in Python

```python
from behave import given, when, then
from selenium import webdriver

@given('the user is on the login page')
def step_impl(context):
    context.browser = webdriver.Chrome()
    context.browser.get('http://example.com/login')

@when('the user enters valid credentials')
def step_impl(context):
    context.browser.find_element_by_id('username').send_keys('valid_user')
    context.browser.find_element_by_id('password').send_keys('valid_password')

@when('the user selects the ""Stay logged in"" checkbox')
def step_impl(context):
    context.browser.find_element_by_id('stay_logged_in').click()

@when('the user clicks the login button')
def step_impl(context):
    context.browser.find_element_by_id('login_button').click()

@then('the user should be logged in')
def step_impl(context):
    assert context.browser.find_element_by_id('logout_button').is_displayed()

@then('the ""Stay logged in"" option should be enabled')
def step_impl(context):
    assert context.browser.find_element_by_id('stay_logged_in').is_selected()

@given('the user has previously selected the ""Stay logged in"" option')
def step_impl(context):
    context.execute_steps('''
        Given the user is on the login page
        When the user enters valid credentials
        And the user selects the ""Stay logged in"" checkbox
        And the user clicks the login button
    ''')

@given('the user is not currently logged in')
def step_impl(context):
    context.browser.delete_all_cookies()

@when('the user navigates to the site')
def step_impl(context):
    context.browser.get('http://example.com')

@then('the user should be automatically logged in')
def step_impl(context):
    assert context.browser.find_element_by_id('logout_button').is_displayed()
```

### (3) Validation Checklist

- [ ] Verify the login page is accessible.
- [ ] Verify the 'Stay logged in' checkbox is present on the login page.
- [ ] Verify the user can enter valid credentials.
- [ ] Verify the user can select the 'Stay logged in' checkbox.
- [ ] Verify the user can click the login button.
- [ ] Verify the user is logged in after clicking the login button.
- [ ] Verify the 'Stay logged in' option remains enabled after login.
- [ ] Verify the user is automatically logged in when returning to the site after selecting 'Stay logged in'.
- [ ] Verify the user is not logged in if the 'Stay logged in' option was not selected.
- [ ] Verify the user can log out manually even if 'Stay logged in' was selected.",gpt-4o-2024-05-13,0.011219999999999999,None,2026-07-16 00:58:03
US018,g02-federalspending.txt,Federal Spending,Simple,Agency user,to accurately see who created a submission,I'm not confused about who last updated a submission,Yes,Submission creator name is displayed correctly; Last updated user is shown distinctly from creator; Submission history shows both create and update events; No confusion when same user creates and updates,4,4,4.0,"Simple, clear story about data provenance. Benefit ('not confused') is business-meaningful and testable. Edge case: same user creates and updates — needs explicit test.","### (1) Gherkin Scenarios in .feature Format

```gherkin
Feature: Display submission creator
  As an Agency user
  I want to accurately see who created a submission
  So that I'm not confused about who last updated a submission

  Scenario: View submission creator
    Given I am logged in as an Agency user
    When I view a submission
    Then I should see the name of the user who created the submission

  Scenario: View submission last updated by
    Given I am logged in as an Agency user
    When I view a submission
    Then I should see the name of the user who last updated the submission
```

### (2) Step Definitions in Python

```python
from behave import given, when, then

@given('I am logged in as an Agency user')
def step_impl(context):
    context.browser.get('http://example.com/login')
    context.browser.find_element_by_id('username').send_keys('agency_user')
    context.browser.find_element_by_id('password').send_keys('password')
    context.browser.find_element_by_id('login').click()

@when('I view a submission')
def step_impl(context):
    context.browser.get('http://example.com/submissions/1')

@then('I should see the name of the user who created the submission')
def step_impl(context):
    creator_name = context.browser.find_element_by_id('creator_name').text
    assert creator_name == 'Expected Creator Name', f""Expected 'Expected Creator Name' but got {creator_name}""

@then('I should see the name of the user who last updated the submission')
def step_impl(context):
    last_updated_by = context.browser.find_element_by_id('last_updated_by').text
    assert last_updated_by == 'Expected Updater Name', f""Expected 'Expected Updater Name' but got {last_updated_by}""
```

### (3) Validation Checklist

- [ ] Verify that the Agency user can log in successfully.
- [ ] Verify that the submission page loads correctly.
- [ ] Verify that the name of the user who created the submission is displayed.
- [ ] Verify that the name of the user who last updated the submission is displayed.
- [ ] Verify that the displayed creator name is accurate.
- [ ] Verify that the displayed last updated by name is accurate.
- [ ] Verify that the UI elements for creator name and last updated by name are correctly identified by their IDs.
- [ ] Verify that error messages are shown if the creator or last updated by names are not found.",gpt-4o-2024-05-13,0.00835,None,2026-07-16 00:58:05
US019,g23-archivesspace.txt,Archives Management,Simple,Archivist,to create and edit a Resource record,Benefit not explicitly stated.,Yes,"1. Click 'New Resource', fill all mandatory fields, hit Save. 2. Edit title of existing Resource. 3. Leave 'Resource Type' blank and check inline validation error.",3,3,3.0,Missing benefit entirely. 'Create and edit a Resource record' is standard CRUD. Disagreement resolved to lower score due to missing 'Why'.,"**(1) Gherkin Scenarios in .feature format:**

```gherkin
Feature: Create and Edit Resource Record

  Scenario: Create a new Resource record
    Given I am logged in as an Archivist
    When I navigate to the ""Create Resource"" page
    And I fill in the resource details
    And I submit the form
    Then I should see a confirmation message
    And the new resource should be listed in the resource list

  Scenario: Edit an existing Resource record
    Given I am logged in as an Archivist
    And a resource record exists
    When I navigate to the ""Edit Resource"" page for that resource
    And I update the resource details
    And I submit the form
    Then I should see a confirmation message
    And the updated resource should be listed in the resource list
```

**(2) Step Definitions in Python:**

```python
from behave import given, when, then

@given('I am logged in as an Archivist')
def step_impl(context):
    context.browser.get('http://example.com/login')
    context.browser.find_element_by_id('username').send_keys('archivist')
    context.browser.find_element_by_id('password').send_keys('password')
    context.browser.find_element_by_id('login').click()

@when('I navigate to the ""Create Resource"" page')
def step_impl(context):
    context.browser.get('http://example.com/create-resource')

@when('I fill in the resource details')
def step_impl(context):
    context.browser.find_element_by_id('title').send_keys('New Resource')
    context.browser.find_element_by_id('description').send_keys('Resource Description')

@when('I submit the form')
def step_impl(context):
    context.browser.find_element_by_id('submit').click()

@then('I should see a confirmation message')
def step_impl(context):
    assert context.browser.find_element_by_id('confirmation').is_displayed()

@then('the new resource should be listed in the resource list')
def step_impl(context):
    context.browser.get('http://example.com/resource-list')
    assert 'New Resource' in context.browser.page_source

@given('a resource record exists')
def step_impl(context):
    context.execute_steps('''
        When I navigate to the ""Create Resource"" page
        And I fill in the resource details
        And I submit the form
    ''')

@when('I navigate to the ""Edit Resource"" page for that resource')
def step_impl(context):
    context.browser.get('http://example.com/resource-list')
    context.browser.find_element_by_link_text('New Resource').click()
    context.browser.find_element_by_id('edit').click()

@when('I update the resource details')
def step_impl(context):
    context.browser.find_element_by_id('title').clear()
    context.browser.find_element_by_id('title').send_keys('Updated Resource')
    context.browser.find_element_by_id('description').clear()
    context.browser.find_element_by_id('description').send_keys('Updated Description')

@then('the updated resource should be listed in the resource list')
def step_impl(context):
    context.browser.get('http://example.com/resource-list')
    assert 'Updated Resource' in context.browser.page_source
```

**(3) Validation Checklist:**

- [ ] Verify that the user can log in as an Archivist.
- [ ] Verify that the ""Create Resource"" page is accessible.
- [ ] Verify that the resource details form can be filled out.
- [ ] Verify that the form can be submitted.
- [ ] Verify that a confirmation message is displayed after form submission.
- [ ] Verify that the new resource appears in the resource list.
- [ ] Verify that an existing resource record can be edited.
- [ ] Verify that the ""Edit Resource"" page is accessible for an existing resource.
- [ ] Verify that the resource details can be updated.
- [ ] Verify that a confirmation message is displayed after updating the resource.
- [ ] Verify that the updated resource appears in the resource list.",gpt-4o-2024-05-13,0.01295,None,2026-07-16 00:58:08
US020,parabol_blog,Parabol: Backend,Complex,developer,to create a RESTful API so that our front end can communicate with our back end,our front end can communicate with our back end,Yes,1. GET /api/v1/users returns 200 OK and valid JSON. 2. POST /api/v1/users with missing payload returns 400 Bad Request. 3. Verify JWT token authentication works on all endpoints.,2,1,1.0,"This is an architectural task ('create a RESTful API'), not a user story. Both annotators heavily penalized it. Needs to be rewritten from frontend user perspective.","**(1) Gherkin scenarios in .feature format:**

```gherkin
Feature: RESTful API for Frontend and Backend Communication

  Scenario: Successful GET request to retrieve data
    Given the API is running
    When the client sends a GET request to ""/data""
    Then the server should respond with a 200 status code
    And the response should contain the requested data

  Scenario: Successful POST request to send data
    Given the API is running
    When the client sends a POST request to ""/data"" with valid data
    Then the server should respond with a 201 status code
    And the response should contain a confirmation message

  Scenario: Unsuccessful GET request to a non-existent endpoint
    Given the API is running
    When the client sends a GET request to ""/nonexistent""
    Then the server should respond with a 404 status code
    And the response should contain an error message

  Scenario: Unsuccessful POST request with invalid data
    Given the API is running
    When the client sends a POST request to ""/data"" with invalid data
    Then the server should respond with a 400 status code
    And the response should contain an error message
```

**(2) Step definitions in Python:**

```python
from behave import given, when, then
import requests

API_URL = ""http://localhost:5000""

@given('the API is running')
def step_impl(context):
    response = requests.get(API_URL + ""/health"")
    assert response.status_code == 200

@when('the client sends a GET request to ""{endpoint}""')
def step_impl(context, endpoint):
    context.response = requests.get(API_URL + endpoint)

@when('the client sends a POST request to ""{endpoint}"" with valid data')
def step_impl(context, endpoint):
    valid_data = {""key"": ""value""}
    context.response = requests.post(API_URL + endpoint, json=valid_data)

@when('the client sends a POST request to ""{endpoint}"" with invalid data')
def step_impl(context, endpoint):
    invalid_data = {""invalid"": ""data""}
    context.response = requests.post(API_URL + endpoint, json=invalid_data)

@then('the server should respond with a {status_code:d} status code')
def step_impl(context, status_code):
    assert context.response.status_code == status_code

@then('the response should contain the requested data')
def step_impl(context):
    assert ""data"" in context.response.json()

@then('the response should contain a confirmation message')
def step_impl(context):
    assert ""confirmation"" in context.response.json()

@then('the response should contain an error message')
def step_impl(context):
    assert ""error"" in context.response.json()
```

**(3) Validation checklist:**

- [ ] Verify the API server is running and accessible.
- [ ] Validate the GET request to ""/data"" returns a 200 status code and contains the requested data.
- [ ] Validate the POST request to ""/data"" with valid data returns a 201 status code and contains a confirmation message.
- [ ] Validate the GET request to a non-existent endpoint ""/nonexistent"" returns a 404 status code and contains an error message.
- [ ] Validate the POST request to ""/data"" with invalid data returns a 400 status code and contains an error message.
- [ ] Ensure the health check endpoint ""/health"" returns a 200 status code.",gpt-4o-2024-05-13,0.01117,None,2026-07-16 00:58:11
US021,parabol_blog,Parabol: Online Shopping,Medium,customer,"to track my order, so I can know when to expect delivery",I can know when to expect delivery,Yes,"1. Enter order #12345, see timeline UI (Ordered -> Shipped -> Delivered). 2. Enter non-existent order #999, see 'Order not found' graphic. 3. Display estimated delivery date.",3,2,2.0,"Standard e-commerce story. 'Track my order' is clear. Acceptance criteria would need to define what statuses exist (Shipped, Transit, etc).","(1) Gherkin scenarios in .feature format:

```gherkin
Feature: Order Tracking

  Scenario: Customer views order tracking page
    Given the customer is logged in
    When the customer navigates to the order tracking page
    Then the customer should see a list of their orders

  Scenario: Customer views order status
    Given the customer is on the order tracking page
    When the customer selects an order
    Then the customer should see the current status of the order

  Scenario: Customer views estimated delivery date
    Given the customer is viewing the order status
    Then the customer should see the estimated delivery date
```

(2) Step definitions in Python:

```python
from behave import given, when, then

@given('the customer is logged in')
def step_impl(context):
    context.browser.get('http://example.com/login')
    context.browser.find_element_by_id('username').send_keys('customer')
    context.browser.find_element_by_id('password').send_keys('password')
    context.browser.find_element_by_id('login').click()

@when('the customer navigates to the order tracking page')
def step_impl(context):
    context.browser.get('http://example.com/order-tracking')

@then('the customer should see a list of their orders')
def step_impl(context):
    orders = context.browser.find_elements_by_class_name('order')
    assert len(orders) > 0

@when('the customer selects an order')
def step_impl(context):
    context.browser.find_element_by_class_name('order').click()

@then('the customer should see the current status of the order')
def step_impl(context):
    status = context.browser.find_element_by_id('order-status').text
    assert status is not None

@then('the customer should see the estimated delivery date')
def step_impl(context):
    delivery_date = context.browser.find_element_by_id('delivery-date').text
    assert delivery_date is not None
```

(3) Validation checklist:

- [ ] Verify the customer can log in successfully.
- [ ] Verify the customer can navigate to the order tracking page.
- [ ] Verify the order tracking page displays a list of orders.
- [ ] Verify the customer can select an order from the list.
- [ ] Verify the order status is displayed when an order is selected.
- [ ] Verify the estimated delivery date is displayed along with the order status.",gpt-4o-2024-05-13,0.0079,None,2026-07-16 00:58:13
US022,parabol_blog,Parabol: With Requirements,Medium,banking customer,"to transfer funds between my accounts, so I can manage my money effectively",I can manage my money effectively,Yes,"1. Transfer $50 from Checking to Savings, verify balances instantly update. 2. Attempt to transfer more than available balance (expect error). 3. Verify transaction appears in history.",3,3,3.0,Banking domain. Role is just 'user' (implicit). Story is fine but basic. A2 wanted more specifics on 'effectively' managing money.,"### (1) Gherkin Scenarios in .feature Format

```gherkin
Feature: Transfer funds between accounts

  Scenario: Successful transfer of funds between accounts
    Given I am logged into my banking account
    And I have sufficient funds in my source account
    When I transfer $100 from my source account to my destination account
    Then the transfer should be successful
    And the source account balance should be reduced by $100
    And the destination account balance should be increased by $100

  Scenario: Transfer funds with insufficient balance
    Given I am logged into my banking account
    And I have insufficient funds in my source account
    When I attempt to transfer $1000 from my source account to my destination account
    Then the transfer should be declined
    And I should see an error message ""Insufficient funds""
    And the source account balance should remain unchanged
    And the destination account balance should remain unchanged

  Scenario: Transfer funds between the same account
    Given I am logged into my banking account
    When I attempt to transfer $100 from my account to the same account
    Then the transfer should be declined
    And I should see an error message ""Cannot transfer to the same account""
    And the account balance should remain unchanged
```

### (2) Step Definitions in Python

```python
from behave import given, when, then

@given('I am logged into my banking account')
def step_impl(context):
    context.user = login_to_banking_account()

@given('I have sufficient funds in my source account')
def step_impl(context):
    context.source_account = get_account_balance()
    assert context.source_account.balance >= 100

@given('I have insufficient funds in my source account')
def step_impl(context):
    context.source_account = get_account_balance()
    assert context.source_account.balance < 1000

@when('I transfer ${amount:d} from my source account to my destination account')
def step_impl(context, amount):
    context.result = transfer_funds(context.source_account, context.destination_account, amount)

@when('I attempt to transfer ${amount:d} from my source account to my destination account')
def step_impl(context, amount):
    context.result = transfer_funds(context.source_account, context.destination_account, amount)

@when('I attempt to transfer ${amount:d} from my account to the same account')
def step_impl(context, amount):
    context.result = transfer_funds(context.source_account, context.source_account, amount)

@then('the transfer should be successful')
def step_impl(context):
    assert context.result['status'] == 'success'

@then('the transfer should be declined')
def step_impl(context):
    assert context.result['status'] == 'declined'

@then('I should see an error message ""{message}""')
def step_impl(context, message):
    assert context.result['error_message'] == message

@then('the source account balance should be reduced by ${amount:d}')
def step_impl(context, amount):
    new_balance = get_account_balance(context.source_account)
    assert new_balance == context.source_account.balance - amount

@then('the destination account balance should be increased by ${amount:d}')
def step_impl(context, amount):
    new_balance = get_account_balance(context.destination_account)
    assert new_balance == context.destination_account.balance + amount

@then('the source account balance should remain unchanged')
def step_impl(context):
    new_balance = get_account_balance(context.source_account)
    assert new_balance == context.source_account.balance

@then('the destination account balance should remain unchanged')
def step_impl(context):
    new_balance = get_account_balance(context.destination_account)
    assert new_balance == context.destination_account.balance

@then('the account balance should remain unchanged')
def step_impl(context):
    new_balance = get_account_balance(context.source_account)
    assert new_balance == context.source_account.balance
```

### (3) Validation Checklist

- [ ] Verify user is logged into the banking account.
- [ ] Verify source account has sufficient funds for the transfer.
- [ ] Verify source account has insufficient funds for the transfer.
- [ ] Verify transfer of $100 from source account to destination account is successful.
- [ ] Verify source account balance is reduced by $100 after successful transfer.
- [ ] Verify destination account balance is increased by $100 after successful transfer.
- [ ] Verify transfer is declined when source account has insufficient funds.
- [ ] Verify error message ""Insufficient funds"" is displayed when transfer is declined.
- [ ] Verify source account balance remains unchanged when transfer is declined.
- [ ] Verify destination account balance remains unchanged when transfer is declined.
- [ ] Verify transfer is declined when attempting to transfer funds to the same account.
- [ ] Verify error message ""Cannot transfer to the same account"" is displayed when transfer is declined.
- [ ] Verify account balance remains unchanged when transfer to the same account is declined.",gpt-4o-2024-05-13,0.0156,None,2026-07-16 00:58:17
US023,parabol_blog,Parabol: Registration,Simple,new user,to choose my own username and password during registration,I can personalize my login credentials,Yes,1. Register with username 'JohnDoe' and strong password. 2. Attempt to register 'JohnDoe' again (expect duplicate error). 3. Check password strength meter turns green.,4,4,4.0,Good registration story. Disagreement because A1 felt 'personalize login' is a weak benefit statement compared to actual security needs.,"**(1) Gherkin scenarios in .feature format:**

```gherkin
Feature: User Registration

  Scenario: Successful registration with valid username and password
    Given I am a new user on the registration page
    When I enter a valid username
    And I enter a valid password
    And I confirm the password
    And I submit the registration form
    Then I should see a registration success message

  Scenario: Registration with an already taken username
    Given I am a new user on the registration page
    When I enter a username that is already taken
    And I enter a valid password
    And I confirm the password
    And I submit the registration form
    Then I should see an error message indicating the username is already taken

  Scenario: Registration with mismatched password confirmation
    Given I am a new user on the registration page
    When I enter a valid username
    And I enter a valid password
    And I enter a different password in the confirmation field
    And I submit the registration form
    Then I should see an error message indicating the passwords do not match

  Scenario: Registration with invalid username
    Given I am a new user on the registration page
    When I enter an invalid username
    And I enter a valid password
    And I confirm the password
    And I submit the registration form
    Then I should see an error message indicating the username is invalid

  Scenario: Registration with invalid password
    Given I am a new user on the registration page
    When I enter a valid username
    And I enter an invalid password
    And I confirm the password
    And I submit the registration form
    Then I should see an error message indicating the password is invalid
```

**(2) Step definitions in Python:**

```python
from behave import given, when, then

@given('I am a new user on the registration page')
def step_impl(context):
    context.browser.get('http://example.com/register')

@when('I enter a valid username')
def step_impl(context):
    context.browser.find_element_by_id('username').send_keys('validUsername')

@when('I enter a valid password')
def step_impl(context):
    context.browser.find_element_by_id('password').send_keys('ValidPassword123')

@when('I confirm the password')
def step_impl(context):
    context.browser.find_element_by_id('confirm_password').send_keys('ValidPassword123')

@when('I submit the registration form')
def step_impl(context):
    context.browser.find_element_by_id('submit').click()

@then('I should see a registration success message')
def step_impl(context):
    success_message = context.browser.find_element_by_id('success_message').text
    assert success_message == 'Registration successful!'

@when('I enter a username that is already taken')
def step_impl(context):
    context.browser.find_element_by_id('username').send_keys('takenUsername')

@then('I should see an error message indicating the username is already taken')
def step_impl(context):
    error_message = context.browser.find_element_by_id('error_message').text
    assert error_message == 'Username is already taken'

@when('I enter a different password in the confirmation field')
def step_impl(context):
    context.browser.find_element_by_id('confirm_password').send_keys('DifferentPassword123')

@then('I should see an error message indicating the passwords do not match')
def step_impl(context):
    error_message = context.browser.find_element_by_id('error_message').text
    assert error_message == 'Passwords do not match'

@when('I enter an invalid username')
def step_impl(context):
    context.browser.find_element_by_id('username').send_keys('invalid username!')

@then('I should see an error message indicating the username is invalid')
def step_impl(context):
    error_message = context.browser.find_element_by_id('error_message').text
    assert error_message == 'Invalid username'

@when('I enter an invalid password')
def step_impl(context):
    context.browser.find_element_by_id('password').send_keys('short')

@then('I should see an error message indicating the password is invalid')
def step_impl(context):
    error_message = context.browser.find_element_by_id('error_message').text
    assert error_message == 'Invalid password'
```

**(3) Validation checklist:**

- [ ] Verify that the registration page loads correctly.
- [ ] Verify that a new user can enter a valid username.
- [ ] Verify that a new user can enter a valid password.
- [ ] Verify that a new user can confirm the password.
- [ ] Verify that the registration form can be submitted.
- [ ] Verify that a success message is displayed upon successful registration.
- [ ] Verify that an error message is displayed when the username is already taken.
- [ ] Verify that an error message is displayed when the passwords do not match.
- [ ] Verify that an error message is displayed when an invalid username is entered.
- [ ] Verify that an error message is displayed when an invalid password is entered.",gpt-4o-2024-05-13,0.016145,None,2026-07-16 00:58:20
