ID,Title,Author,Abstract,Year,Venue,Search String
12,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,Sagar B. Patel|Sajal Nigam|Shrikanth Mahale,,2025,,String A
13,How Software Testers Perceive Large Language Models: A Focus Group Study with Lexicometric Analysis,Izabella Silva|Mirko Perkusich|Danyllo Albuquerque|Kyller Gorgônio|Ângelo Perkusich,"Context. Large Language Models (LLMs) are increasingly embedded in software-engineering toolchains, with potential to enhance quality-assurance tasks such as test-case generation, bug analysis, and traceability. Yet their industrial value remains unclear, partly because practicing testers’ perspectives are underexplored. Objective. We investigate how industry testers perceive the usefulness and limitations of LLMs across the Software Test Life Cycle (STLC), identifying (i) the most critical stages, (ii) operational bottlenecks, and (iii) perceived benefits, risks, and adoption conditions. Method. A focus group with five professional quality analysts (2–10 years’ experience) included hands-on interaction with an LLM-powered BDD notebook, followed by guided discussion and affinity-diagram voting. Forty-two statements were coded and prioritized. Results. Requirements Analysis and Test Planning were deemed most critical; 71% of votes linked rework to unclear or incomplete requirements. Benefits cited were automation of repetitive tasks, broader coverage, and faster learning; main concerns were prompt sensitivity, limited domain generalization, and data-privacy risks, with emphasis on human oversight and domain-adapted prompt libraries. Conclusion. While LLMs can improve efficiency and coverage, adoption depends on high-quality inputs, secure deployment, and early-phase integration. The findings offer empirically grounded guidance for aligning LLM solutions with the socio-technical realities of industrial testing teams.",2025,,String A
14,Exploring Behavior-Driven Development for Code Generation,Yunhao Liang|Chengguang Gan|Ruixuan Ying|Zhe Cui,,2025,Lecture notes in computer science,String A
15,From customer requirements to behavior driven development scenarios : a possible usecase of large language models in behavior driven development,Sebastian Lex,,2025,FH JOANNEUM ePUB,String A
16,From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations,Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,,2025,SSRN Electronic Journal,String A
17,mrilikecoding/llm-orc: v0.11.0 - Script Agent System,Nate Green,"What's New This release adds complete infrastructure for script-based agents in ensembles, enabling deterministic processing, external tool integration, and human-in-the-loop workflows for collective intelligence research. Script Agent System (#24) EnhancedScriptAgent: JSON stdin/stdout contract with Pydantic schema validation ScriptResolver: Priority-based script discovery from .llm-orc/scripts/ directories ArtifactManager: Timestamped execution results with JSON and Markdown output Implicit agent type detection: Auto-detect script vs LLM agents by configuration fields Human-in-the-loop workflows: Interactive user input primitives for research validation CLI commands: scripts list, scripts show, scripts test for script management Library integration: Automatic primitive script installation from llm-orchestra-library Primitive Script Library Ready-to-use scripts for common operations: file-ops/: read_file.py, write_file.py for file I/O user-interaction/: get_user_input.py, confirm_action.py for interactive workflows data-transform/: json_extract.py for data manipulation control-flow/: replicate_n_times.py for execution control Pydantic Schema System Type-safe interfaces for script agents: ScriptAgentInput/Output schemas for contract validation ConversationState for multi-turn conversation tracking Event-driven architecture foundation with base Event model BDD Test Suite 164 behavioral scenarios validating all ADRs: ADR-001: Pydantic script interfaces ADR-002: Composable primitive system ADR-003: Testable script contracts ADR-005: Multi-turn conversations ADR-006: Library-based primitives architecture ADR-007: Progressive ensemble validation ADR-008: LLM-friendly CLI and MCP design Technical 142 commits implementing Issue #24 requirements 2,331 tests passing with 93.5% coverage Full compliance with ruff, mypy strict, and complexipy standards Security controls for script execution with command validation Installation # Via pip pip install llm-orchestra==0.11.0 # Via Homebrew brew tap mrilikecoding/llm-orchestra brew install llm-orchestra Full Changelog See CHANGELOG.md for details.",2025,Zenodo (CERN European Organization for Nuclear Research),String A
18,Special issues on emerging technologies and their importance for software and systems processes,Xiwei Xu|Jens Heidrich,"The integration of these emerging technologies into software and systems processes is not merely a matter of technological advancement but a fundamental shift in how software is conceived, developed, and deployed. As organizations strive to innovate and stay competitive in today's digital economy, harnessing the power of AI, big data, blockchain, AR, and other emerging technologies is imperative for driving efficiency, agility, and innovation in software and systems development. By embracing these technologies and adapting to the evolving technological landscape, software developers and organizations can unlock new opportunities, address complex challenges, and deliver transformative solutions that meet the evolving needs of users and stakeholders. The 17th International Conference on Software and System Processes (ICSSP) held in 2023 focused on the theme “Software and System Processes for and with Emerging Technologies.” This theme reflects the accelerating pace of technological advancement and its profound impact on software and system development practices. The conference provided a platform for researchers and practitioners to explore innovative approaches in incorporating new technologies into software and system processes, aiming to advance the state of both research and practice in the field. This special issue of the Journal of Software: Evolution and Process features a selection of high-quality articles from ICSSP 2023 that exemplify the conference theme. The articles selected for inclusion cover a range of topics related to software and system processes, highlighting the diverse applications of emerging technologies in improving development practices and how to improve our engineering processes when developing systems using emerging technologies. The selection process for the seven articles featured in this special issue involved a rigorous evaluation of the scientific contributions presented at the ICSSP 2023. Out of the 10 scientific articles presented at the conference, the editorial team carefully selected the four most outstanding articles based on their originality, relevance to the conference theme, and contribution to advancing software and systems processes. These selected articles underwent an extended review process and were expanded into comprehensive articles for inclusion in this special issue. Additionally, the three keynote speakers at the conference were invited to contribute articles summarizing their research presentations and providing valuable insights into the field. It is important to note that all submitted articles, including those selected for this special issue, underwent thorough peer reviews by experts in the field before being accepted for publication in the journal. The inclusion of these keynote articles further enriches this special issue by offering diverse perspectives and cutting-edge research in software and systems processes. The articles featured in this special issue can be categorized into two distinct groups, each addressing crucial aspects of software and systems engineering in the context of emerging technologies. The first group comprises articles that explore the utilization of emerging technologies to enhance software and systems engineering practices or to develop systems with dedicated qualities. They demonstrate innovative approaches to incorporating emerging technologies into software development processes, thereby improving efficiency, security, and reliability. On the other hand, the second group of articles focuses on process improvement in general, recognizing that despite the proliferation of new technologies, software engineering remains fundamentally human-based. These articles emphasize the importance of having qualified and motivated software engineers and well-suited, high-quality processes as essential components for effectively integrating emerging technologies into software engineering practices. These articles highlight the critical role of human expertise and process excellence in driving successful software development endeavors amidst evolving technological landscapes. Together, these two groups of articles offer comprehensive insights into the intersection of emerging technologies and software engineering processes, emphasizing the significance of both technological innovation and human-centered approaches for advancing the field. LLMs for Science: Usage for Code Generation and Data Analysis (Mohamed Nejjar, Luca Zacharias, Fabian Stiehle, Ingo Weber): This article explores the use of large language models (LLMs) in scientific research, specifically focusing on their potential in software engineering tasks such as code generation and data analysis. The study provides empirical evidence of LLMs' effectiveness in research practice and highlights their promise in enhancing productivity. The article contributes to advancing software and system processes by leveraging emerging technologies to streamline development tasks. It also sheds light on the challenges and opportunities associated with the adoption of LLMs in scientific research, providing insights into their impact on the software development lifecycle. AI-Augmented Software Engineering: Revolutionizing or Challenging Software Quality and Testing? (Tafline Ramos, Amanda Dean, David McGregor): This article examines the role of AI technologies in software engineering practices, highlighting their potential to drive efficiencies and innovation. However, the article also discusses the challenges associated with AI technologies, such as the lack of traceability and the potential for incorrect inferences. By evaluating the current benefits and shortcomings of AI quality models, the article emphasizes the importance of integrating quality engineering practices to ensure software quality and reliability. It also explores the implications of AI technologies on software testing and quality assurance processes, providing recommendations for addressing the challenges associated with AI adoption in software engineering. Generative AI's Impact on Agile Role Evolution (Philipp Diebold): This position article explores the transformative impact of generative AI (GenAI) on Agile roles, emphasizing the need for Agile practitioners to integrate AI understanding. By analyzing how GenAI redefines traditional tasks in Agile development, the article highlights the potential for AI-enriched Agile practices to drive innovation and maintain agility in software development processes. It also discusses the implications of AI adoption on Agile team dynamics and provides recommendations for integrating AI technologies into Agile development practices. Safe Design and Evolution of Smart Contracts using Dynamic Condition Response Graphs to Model Generic Role-based Behaviors (Yibin Xu, Tijs Slaats, Boris Düdder, Thomas Troels Hildebrandt, Tom Van Cutsem): Addressing the challenges of access control in smart contract development, this article proposes the use of Dynamic Condition Response (DCR) Graphs for role-based access control. The study demonstrates how DCR Graphs support the safe design and evolution of smart contracts (software running on the blockchain) by visualizing dynamic access control rights. By enhancing code auditing and supporting safe contract evolution, this article contributes to improving software and system processes in blockchain-based applications. It also discusses the implications of role-based access control on smart contract security and provides recommendations for implementing secure smart contract development practices. Organizing GUI Tests from Behavior-Driven Development as Videos to Obtain Stakeholders' Feedback (Jianwei Shi, Jonas Mönnich, Jil Klünder, Kurt Schneider): Addressing the need for effective stakeholder feedback in agile development environments, this article proposes a novel approach to documenting and demonstrating Graphical User Interface (GUI) tests using Behavior-Driven Development (BDD) principles. By recording GUI test executions as videos, stakeholders can provide feedback on requirements and identify inconsistencies more effectively. This article demonstrates how collaboration and communication with different stakeholders in software development processes can be improved. It also highlights the importance of incorporating user feedback early in the development lifecycle to ensure the delivery of high-quality software products. This is of utmost importance when developing systems based on emerging technologies. On the Importance of CI/CD Practices for Database Applications (Jasmin Fluri, Fabrizio Fornari, Ela Pustulka): Focusing on the automation of software integration and delivery, this article investigates the benefits of Continuous Integration and Continuous Delivery (CI/CD) practices in the context of database application development. The study introduces a generic CI/CD pipeline tailored to database systems and demonstrates its impact on deployment stability and developer productivity. By promoting automation and efficiency, CI/CD practices contribute to enhancing software and system processes. The article also discusses the challenges associated with implementing CI/CD in database application development and provides insights into best practices for overcoming these challenges. Measuring Software Engineers Contribution in Practice: An Experience Report from Industry (Yue Li, He Zhang, Lanxin Yang, Liming Dong, Bohan Liu): Investigating the contribution measurement process of software engineers in a global ICT enterprise, this article explores the practical significance of measuring software engineers' impact on development processes. The study highlights the importance of proper incentives in motivating software engineers and improving software quality. By sharing best practices for contribution measurement, the article provides valuable insights for enhancing software and system processes in enterprises. It also discusses the implications of contribution measurement on software engineering practices, providing recommendations for implementing effective contribution measurement frameworks in organizations. The articles included in this special issue exemplify the diverse applications of emerging technologies in software and system processes and the importance of continuing to improve our engineering processes when developing systems using emerging technologies. By addressing key challenges and proposing innovative solutions, these articles contribute to advancing the state of the research and practice in the field. We hope this special issue serves as a valuable resource for researchers and practitioners interested in exploring the intersection of software and system processes with emerging technologies. We would like to extend our gratitude to all co-organizers of the ICSSP conference: Liming Zhu, General Chair from CSIRO's Data 61, Australia, and Gayan Benedict, Industry Chair from the University of Technology Sydney, Australia. Their dedication was very important in making ICSSP 2023 a resounding success. We also want to express our sincere appreciation to the devoted members of the organizing and program committees for their invaluable support in arranging and executing an exciting conference, and for assembling a high-quality program. Finally, we extend our thanks to all authors who shared their research insights and practical experiences, as well as the presenters who sparked stimulating discussions with all the participants, contributing to making ICSSP 2023 a special and truly remarkable conference.",2024,Journal of Software Evolution and Process,String A
19,Baseline Evaluation of LLM-Facilitated UI Test-Case Generation from Gherkin Specifications,Alexander Poth|Olsi Rrjolli|Huiyu Wang|Klaus Schmid,,2025,Communications in computer and information science,String B
20,LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,Zhiyi Xue|Liangguo Li|Senyue Tian|Xiaohong Chen|Pingping Li|Liangyu Chen|Tingting Jiang|Min Zhang,,2024,,String B
21,From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations,Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,"Context: Laws and regulations increasingly shape software design, development, and quality assurance in regulated domains. Because legal provisions are written in technology-neutral language, deriving concrete specifications, requirements, and acceptance criteria to verify software compliance is difficult and error-prone. Recent advances in generative AI, especially large language models (LLMs), may help automate this process. Objective: We present the first systematic human-subject evaluation of LLMs' ability to derive Gherkin behavioural specifications from legal texts using a quasi-experimental design. Gherkin is a domain-specific language for scenario-based system behaviour descriptions in Given-When-Then form and is well suited to automation in software development. Methods: Ten participants evaluated 60 Gherkin specifications generated from food-safety regulations by Claude and Llama. Each participant assessed 12 specifications across five criteria: relevance, clarity, completeness, singularity, and time savings. Each specification was evaluated by two participants, yielding 120 assessments with quantitative ratings and qualitative feedback. Results: Ratings were uniformly high in the top two categories: relevance 95%, clarity 100%, completeness 94.2%, singularity 93.4%, and time savings 91.7%. No statistically reliable differences were found across participants or between LLMs. Qualitative feedback noted occasional omissions, hallucinations, and mixed intents, underscoring the need for human oversight, especially in safety-critical domains. Conclusion: In food safety, LLMs can assist in deriving Gherkin specifications from legal texts, but omissions and hallucinations require systematic human review.",2025,ArXiv.org,String B
22,From law to Gherkin: A human-centred quasi-experiment on the quality of LLM-generated behavioral specifications from food-safety regulations,Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,"Laws and regulations increasingly influence software design, development, and quality assurance in regulated domains; however, the technology-neutral formulation of legal provisions complicates the derivation of concrete specifications, requirements, and acceptance criteria needed to verify software compliance. Producing these artifacts manually is labour-intensive and error-prone. Recent advances in generative AI, particularly large language models (LLMs), offer the potential for automated assistance in deriving software engineering artifacts from legal texts. Following a quasi-experimental design, we present the first systematic human-subject evaluation of LLMs’ ability to automatically derive Gherkin behavioural specifications from legal texts. Gherkin is a domain-specific language for specifying system behaviours through scenario-based descriptions written in the Given--When--Then format. Due to their structured and machine-readable nature, Gherkin specifications lend themselves more readily to automation within software-development processes. We recruited 10 participants to evaluate Gherkin specifications generated from food-safety regulations by two LLMs, Claude and Llama. Sixty specifications were generated. Each participant independently assessed 12 specifications across five quality criteria: relevance , clarity , completeness , singularity , and time savings . Each specification was evaluated by two participants, yielding 120 assessments with quantitative ratings and qualitative feedback. Ratings were uniformly high (top-two categories): relevance 95%, clarity 100%, completeness 94.2%, singularity 93.4%, and time savings 91.7%. No statistically reliable differences were observed across participants or between LLMs. Qualitative feedback noted occasional omissions, hallucinations, and mixed intents; the first two, in particular, underscore the importance of human oversight, especially in safety-critical domains where non-compliance can have severe consequences. Our results suggest that, in the context of food safety, LLMs can assist in deriving Gherkin specifications from legal texts; however, observed omissions and hallucinations necessitate systematic human review.",2026,Information and Software Technology,String B
23,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,Sai Zhang|Zhenchang Xing|Ronghui Guo|Fangzhou Xu|L. Chen|Zhaoyuan Zhang|Xiaowang Zhang|Zhiyong Feng|Zhiqiang Zhuang,,2025,ACM Transactions on Software Engineering and Methodology,String B
24,Enhanced BLIP-2 Optimization Using LoRA for Generating Dashcam Captions,Minjun Cho|Tae Whan Kim|Dooho Choi|Yunsick Sung,"Autonomous driving technology has advanced significantly. However, it is challenging to accurately generate captions for driving environment scenes, which involve dynamic elements such as vehicles, traffic signals, road conditions, weather, and the time of day. Capturing these elements accurately is important for improving situational awareness in autonomous systems. Driving environment scene captioning is an important part of generating driving scenarios and enhancing the interpretability of autonomous systems. However, traditional vision–language models struggle with domain adaptation since autonomous driving datasets with detailed captions of dashcam-recorded scenes are limited and they cannot effectively capture diverse driving environment factors. In this paper, we propose an enhanced method based on the bootstrapping language-image pre-training with frozen vision encoders and large language Model (BLIP-2) to optimize the domain adaptation by improving scene captioning in autonomous driving environments. It comprises two steps: (1) transforming structured dataset labels into descriptive captions in natural language using a large language model (LLM), and (2) optimizing Q-Former in a BLIP-2 module with low-rank adaptation (LoRA) to achieve efficient domain adaptation. The structured dataset labels are originally stored in JSON format, where driving environment scene factors are encoded as key-value pairs that represent attributes such as the object type, position, and state. Using the Large-Scale Diverse Driving Video Database (BDD-100K), our method significantly improves performance, achieving BLEU-4, CIDEr, and SPICE scores that were each approximately 1.5 times those for the baseline BLIP-2, respectively. Higher scores show the effectiveness of LoRA-based optimization and, hence, its suitability for autonomous driving applications. Our method effectively enhances accuracy, contextual relevance, and interpretability, contributing to improved scene understanding in autonomous driving systems.",2025,Applied Sciences,String B
25,"Replication package for the paper entitled ""From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations""",Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,"Replication package for the paper titled ""From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations,"" forthcoming in the IST Journal (preprint available at: https://arxiv.org/abs/2508.20744).",2026,Zenodo (CERN European Organization for Nuclear Research),String B
26,"Replication package for the paper entitled ""From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations""",Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,"Replication package for the paper titled ""From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations,"" forthcoming in the IST Journal (preprint available at: https://arxiv.org/abs/2508.20744).",2026,Zenodo (CERN European Organization for Nuclear Research),String B
27,SiJesi: Large Language Model Chatbot with Augmented Retrieval Approach Generation and Prompt Engineering,Happy Sandhiyadini Rosari|Girinoto|Ray Novita Yasa|Nurul Qomariasih|Rheva Anindya Wijayanti,,2024,,String B
