            ID,Authors,Title,Venue,Year,Search_string,v1_decision,v1_reason
24,"Haldar, Susmita; Capretz, Luiz Fernando",Automated test plan generation using large language models,https://api.semanticscholar.org/CorpusID:285806053,2026,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
25,"Mughal, Ali Hassaan",An Autonomous RL Agent Methodology for Dynamic Web UI Testing in a BDD Framework,https://api.semanticscholar.org/CorpusID:276929143,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
26,"Patel, Sagar B.; Nigam, Sajal; Mahale, Shrikanth",Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,https://api.semanticscholar.org/CorpusID:285110109,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
27,"Chu, Bei-juan; Feng, Yang; Liu, Kui; Guo, Zhaoqiang; Zhang, Yichi; Shi, Hange; Nan, Zifan; Xu, Baowen","Large Language Models for Unit Test Generation: Achievements, Challenges, and Opportunities",https://api.semanticscholar.org/CorpusID:284351336,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
28,"Chatterjee, Abhirup",Architecting A Behavior-Driven Test Automation Framework for CI/CD Environments,https://api.semanticscholar.org/CorpusID:287398739,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
29,"Chatterjee, Abhirup",AI driven Test Scenario Generator,https://api.semanticscholar.org/CorpusID:286610357,2025,Exclude,EXCLUDE,EC4
30,"Chouali, Samir; Carrillo, Oscar; Mountassir, Hassan",Specifying System Architecture from SysML Requirements and Component Interfaces,https://api.semanticscholar.org/CorpusID:31428293,2013,Exclude,EXCLUDE,EC4
31,"Rehan, Shaheer; Al-Bander, Baidaa; Ahmad, Amro Al-Said",Harnessing Large Language Models for Automated Software Testing: A Leap Towards Scalable Test Case Generation,https://api.semanticscholar.org/CorpusID:277587892,2025,Exclude,EXCLUDE,EC4
32,"Bahaweres, Rizal Broer; Oktaviani, Elda; Wardhani, Luh Kesuma; Hermadi, I.; Suroso, Arif Imam; Solihin, Indra Permana; Arkeman, Yandra",Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,https://api.semanticscholar.org/CorpusID:232061840,2020,Exclude,EXCLUDE,EC4
33,"Sung, Sicheol; Aditi; kim, Dogyu; Han, Yo-Sub; Ko, Sang-Ki",LogiCase: Effective Test Case Generation from Logical Description in Competitive Programming,https://api.semanticscholar.org/CorpusID:278782542,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
34,"Murugan, S.; Balamurugan, M.",Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,https://api.semanticscholar.org/CorpusID:285291030,2025,String 3,EXCLUDE,EC4
35,"Xu, Jiacheng; Pang, Bo; Qu, Jin; Hayashi, Hiroaki; Xiong, Caiming; Zhou, Yingbo","CLOVER: A Test Case Generation Benchmark with Coverage, Long-Context, and Verification",https://api.semanticscholar.org/CorpusID:276317524,2025,String 3,EXCLUDE,EC4
36,"Sani, Balqees; Jan, Sadaqat",Empirical Analysis of Widely Used Website Automated Testing Tools,https://api.semanticscholar.org/CorpusID:273290520,2024,String 2,EXCLUDE,EC4
37,"Moradi, Milad; Yan, Ke; Colwell, David; Asgari, Rhona",An empirical study of LoRA-based fine-tuning of large language models for automated test case generation,https://api.semanticscholar.org/CorpusID:287248146,2026,String 2,EXCLUDE,EC4
38,"Bruches, Elena; Alperovich, Vadim; Baturova, Dari; Derunets, Roman; Grebenkin, Daniil; Mkrtchyan, Georgy; Sedukhin, Oleg; Klementev, Mikhail; Bondarenko, Ivan; Bushkov, Nikolay; Moiseev, Stanislav",TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,https://api.semanticscholar.org/CorpusID:285051210,2026,String 3,EXCLUDE,EC4
39,"Ficek, Aleksander; Majumdar, Somshubra; Noroozi, Vahid; Ginsburg, Boris",Scoring Verifiers: Evaluating Synthetic Verification in Code and Reasoning,https://api.semanticscholar.org/CorpusID:277502118,2025,String 3,EXCLUDE,EC4
40,"Boorlagadda, Subhang; Atluri, Nitya Naga Sai; Olmez, Muhammet Mustafa; Gehringer, Edward F.",Comparative Evaluation of Large Language Models for Test-Skeleton Generation,https://api.semanticscholar.org/CorpusID:281195515,2025,String 2,EXCLUDE,EC4
41,"Rezeki, Abdillah; Saputro, Setyo Wahyu; Saragih, Triando Hamonangan; Nugroho, Radityo Adi; Abadi, Friska",Empirical Performance of E2E Frameworks in React-Vue SPAs Using DIA,https://api.semanticscholar.org/CorpusID:287204511,2026,String 2,EXCLUDE,EC4
42,"Koohestani, Roham; Bekker, Philippe de; Koç, Begüm; Izadi, Maliheh","Benchmarking AI Models in Software Engineering: A Review, Search Tool, and Unified Approach for Elevating Benchmark Quality",https://api.semanticscholar.org/CorpusID:282401197,2025,String 3,EXCLUDE,EC4
43,"Tu, Jingxiang; Lin, Bo; Qin, Yihao; Wang, Shangwen; Chen, Liqian; Mao, Xiaoguang",Trace: Test Repair via Agent-based Context Extraction with LLMs,https://api.semanticscholar.org/CorpusID:286012437,2025,Exclude,EXCLUDE,EC4
44,"Ferdiansyah, Januri; Abudaqa, Anas; Lansonia, April",Leveraging Artificial Intelligence for Competitive Advantage in SMEs An Empirical Analysiss,https://api.semanticscholar.org/CorpusID:279112252,2025,Exclude,EXCLUDE,EC4
45,"Chang, Hung-Fu; Shirazi, Mohammad Shokrolah",A Systematic Approach for Assessing Large Language Models' Test Case Generation Capability,https://api.semanticscholar.org/CorpusID:276116496,2025,String 3,EXCLUDE,EC4
46,"Rama, Sujeeth Manchikanti Venkata",Universal Automation Framework: Revolutionizing Test Automation Architecture,https://api.semanticscholar.org/CorpusID:276334620,2025,Exclude,EXCLUDE,EC4
47,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",Benchmarking LLMs for Unit Test Generation from Real-World Functions,https://api.semanticscholar.org/CorpusID:280417149,2025,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
48,"Liu, Steven; Luo, Jane; Zhang, Xin; Liu, Aofan; Liu, Hao; Wu, Jie JW; Huang, Ziyang; Huang, Yangyu; Kang, Yu; Li, Scarlett",TestExplora: Benchmarking LLMs for Proactive Bug Discovery via Repository-Level Test Generation,https://api.semanticscholar.org/CorpusID:285470771,2026,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
49,"Bibilo, P. N.",Application of decision diagrams of incompletely specified of k-valued logic functions in the synthesis of logical circuits,https://api.semanticscholar.org/CorpusID:259431978,2023,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
50,"Ahammad, Abdellatif; Bajta, Manal El; Radgui, Maryam",MAGISTER: LLM-Based Test Generation with Role-Specialized Agents,https://api.semanticscholar.org/CorpusID:283726022,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
51,"Li, Minxiao; Yan, Shuying; Zhang, Li; Liu, Yang; Liu, Fang",Benchmarking Requirement-to-Architecture Generation with Hybrid Evaluation,https://api.semanticscholar.org/CorpusID:287248038,2026,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
52,"Sai, Vikram; Karnam, Prasad",Leveraging AI for Intelligent Decision-Making in Test Automation Engineering,https://api.semanticscholar.org/CorpusID:278814102,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
53,"Ceka, Ira; Pujar, Saurabh; Manotas, Irene; Kaiser, Gail E.; Ray, Baishakhi; Ramji, Shyam",Code Reasoning for Software Engineering Tasks: A Survey and A Call to Action,https://api.semanticscholar.org/CorpusID:279410036,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
54,"Bahaweres, Rizal Broer; Hasanah, Nurul","GUI Test Automation Studies: Selenium IDE, Uipath Studio, Katalon Studio",https://api.semanticscholar.org/CorpusID:284160819,2025,String 2,INCLUDE,"IC1, IC2, IC3, IC4"
55,"Tang, Yuheng; Zhu, Kaijie; Ruan, Bonan; Zhang, Chuqi; Yang, Michael; Li, Hongwei; Guo, Suyue; Shi, Tianneng; Li, Zekun; Kruegel, Christopher; Vigna, Giovanni; Song, Dawn Xiaodong; Wang, William Yang; Wang, Lun; Ding, Yangruibo; Liang, Zhenkai; Guo, Wenbo",DevOps-Gym: Benchmarking AI Agents in Software DevOps Cycle,https://api.semanticscholar.org/CorpusID:285140944,2026,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
56,"Raju, Sothy Sundara; Leong, Wai Yie",Modernizing Testing: A Comparative Review of Test Automation Frameworks and AI Tools,https://api.semanticscholar.org/CorpusID:277694316,2025,String 2,INCLUDE,"IC1, IC2, IC3, IC4"
57,"He, Zhongmou; Choi, Yee Man; Zhang, Kexun; Ji, Jiabao; Zhou, Junting; Xu, Dejia; Bercovich, Ivan; Zhang, Aidan; Li, Lei",HardTests: Synthesizing High-Quality Test Cases for LLM Coding,https://api.semanticscholar.org/CorpusID:279070323,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
58,"Garg, Shankar",Cucumber Cookbook,https://api.semanticscholar.org/CorpusID:86720188,2015,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
59,"Santos, Shexmo Richarlison Ribeiro dos; Santos, Luiz Felipe Cirqueira dos; Silva, Marcus Vinicius Santana; Santos, Marcos Cesar Barbosa dos; Mendonça, Mariano; Santos, Marcos Venicius; Santos, Marckson Fábio da Silva; Bastos, Alberto; Marczak, Sabrina; Soares, Michel; Rocha, Fábio Gomes",Automated Test Generation Using LLM Based on BDD: A Comparative Study,https://api.semanticscholar.org/CorpusID:282457113,2025,String 2,INCLUDE,"IC1, IC2, IC3, IC4"
60,"R, Arya Devi M.; P, Abdul Jabbar",Automated Test Case Generation Using Machine Learning And Natural Language Processing,https://api.semanticscholar.org/CorpusID:283570282,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
61,"Fernandes, Hiago; Perkusich, Mirko Barbosa; Albuquerque, Danyllo Wagner; Silva, Izabella; Santos, Danilo F. S.; Gorgônio, Kyller Costa; Perkusich, Angelo",A Comparative Study of LLMs for Gherkin Generation,https://api.semanticscholar.org/CorpusID:281966836,2025,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
62,"Mughal, Ali Hassaan; Fatima, Noor; Bilal, Muhammad",Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,https://api.semanticscholar.org/CorpusID:288254584,2026,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
63,"Bruches, Elena; Grebenkin, Daniil; Klementev, Mikhail; Alperovich, Vadim; Derunets, Roman; Baturova, Dari; Mkrtchyan, Georgy; Sedukhin, Oleg; Bondarenko, Ivan; Bushkov, Nikolay; Moiseev, Stanislav",RM -RF: Reward Model for Run-Free Unit Test Evaluation,https://api.semanticscholar.org/CorpusID:284911888,2026,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
64,"Celik, Arda; Mahmoud, Qusay H.",A Review of Large Language Models for Automated Test Case Generation,https://api.semanticscholar.org/CorpusID:281275107,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
65,"Liu, Mingwei; Li, Juntao; Wang, Ying; Du, Xueying; Ou, Zuoyu; Chen, Qiuyuan; An, Bingxu; Wei, Zhao; Xu, Yong; Zou, Fang; Peng, Xing; Lou, Yiling",Code Copycat Conundrum: Demystifying Repetition in LLM-based Code Generation,https://api.semanticscholar.org/CorpusID:277857100,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
66,"Taherkhani, Hamed; Shin, Jiho; Tahir, Muhammad; Misu, Md Rakib Hossain; Gattani, Vineet Sunil; Hemmati, Hadi",Toward Automated Validation of Language Model Synthesized Test Cases Using Semantic Entropy,https://api.semanticscholar.org/CorpusID:273993533,2024,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
67,"Ma, Zihan; Zhang, Taolin; Cao, Maosong; Liu, Jun'nan; Zhang, Wenwei; Luo, Minnan; Zhang, Songyang; Chen, Kai",Rethinking Verification for LLM Code Generation: From Generation to Testing,https://api.semanticscholar.org/CorpusID:280148677,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
68,"Wang, Fanyu; Arora, Chetan; Liu, Yonghui; Huang, Kaicheng; Tantithamthavorn, Chakkrit Kla; Aleti, Aldeida; Sambathkumar, Dishan; Lo, David",Multi-Modal Requirements Data-based Acceptance Criteria Generation using LLMs,https://api.semanticscholar.org/CorpusID:280566577,2025,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
69,"Ferreira, M. Hermínia; Viegas, Luis; Faria, Jo˜ao Pascoal; Lima, Bruno Miguel Carvalhido",Acceptance Test Generation with Large Language Models: An Industrial Case Study,https://api.semanticscholar.org/CorpusID:277667062,2025,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
70,"Liang, Yunhao; Ying, Ruixuan; Taniguchi, Takuya; Lyu, Guwen; Cui, Zhe",HyClone: Bridging LLM Understanding and Dynamic Execution for Semantic Code Clone Detection,https://api.semanticscholar.org/CorpusID:280421427,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
71,"Karpurapu, Shanthi; Myneni, Sravanthy; Nettur, Unnati; Gajja, Likhit Sagar; Burke, Dave; Stiehm, Tom; Payne, Jeffery",Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,https://api.semanticscholar.org/CorpusID:268667372,2024,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
72,"Lim, Soohan; Hahn, Joonghyuk; Park, Hyunwoo; Ko, Sang-Ki; Han, Yo-Sub",ContractEval: A Benchmark for Evaluating Contract-Satisfying Assertions in Code Generation,https://api.semanticscholar.org/CorpusID:282064465,2025,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
73,"Mughal, Ali Hassaan",Advancing BDD Software Testing: Dynamic Scenario Re-Usability And Step Auto-Complete For Cucumber Framework,https://api.semanticscholar.org/CorpusID:267938715,2024,"String 1, String 3",INCLUDE,"IC1, IC2, IC3, IC4"
74,"Haratua, Wilbur; Handoko, Felix Christian; Valentino, Kevin; Sukmaningsih, Dyah Wahyu",Effectiveness of Artificial Intelligence in Automation Testing in Software Development Cycle,https://api.semanticscholar.org/CorpusID:283570097,2025,String 2,INCLUDE,"IC1, IC2, IC3, IC4"
75,"Valdivia, Jose Rojas; Mauricio, David; Guzmán-Jiménez, Rosario",Generative Artificial Intelligence for Software Development Using ISO/IEC 29110 Basic Profile: Gaps and Opportunities,https://api.semanticscholar.org/CorpusID:285191920,2026,String 2,INCLUDE,"IC1, IC2, IC3, IC4"
76,"Walczak, Jakub; Tomalak, Piotr; Laskowski, Artur",Impact of Code Context and Prompting Strategies on Automated Unit Test Generation with Modern General-Purpose Large Language Models,https://api.semanticscholar.org/CorpusID:280256801,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
77,"Tiwari, Sujeet Kumar",Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,https://api.semanticscholar.org/CorpusID:284291269,2025,"String 1, String 3",INCLUDE,"IC1, IC2, IC3, IC4"
78,"Ouyang, Shuyin; Zhang, Jie M.; Gong, Jing; Jahangirova, Gunel; Mousavi, Mohammad Reza; Johns, John E.; Lee, Beum-Seuk; Zió?kowski, Adam; Virginas, Botond; Noppen, Joost",Benchmarking and Evaluating VLMs for Software Architecture Diagram Understanding,https://api.semanticscholar.org/CorpusID:287201246,2026,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
79,"Kasaram, Chiranjeevulu Reddy",Structuring Reusable API Testing Frameworks with Cucumber-BDD and REST Assured,https://api.semanticscholar.org/CorpusID:282351146,2023,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
80,"Mughal, Ali Hassaan; Bilal, Muhammad",Software Testing at the Network Layer: Automated HTTP API Quality Assessment and Security Analysis of Production Web Applications,https://api.semanticscholar.org/CorpusID:285452534,2026,Exclude,EXCLUDE,EC4
81,"Matveeva, Lada Ivanna; Kun\vstár, Vladimír; Jelemenská, Katarína; Pavel \vCi\vcák",Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,https://api.semanticscholar.org/CorpusID:283923620,2025,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
82,"Wang, Wenhan; Yang, Chenyuan; Wang, Zhijie; Huang, Yuheng; Chu, Zhaoyang; Song, Da; Zhang, Lingming; Chen, An Ran; Ma, Lei",TESTEVAL: Benchmarking Large Language Models for Test Case Generation,https://api.semanticscholar.org/CorpusID:270357873,2024,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
83,"Thai, Minh-Tin; Le, Tue; M?nh, D?ng Nguy?n; Nhat, Huy Phan; Bui, Nghi D. Q.",SWE-EVO: Benchmarking Coding Agents in Long-Horizon Software Evolution Scenarios,https://api.semanticscholar.org/CorpusID:284077594,2025,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
84,"Rodr'iguez, Mar'ia Bel'en; Bos, Petra van den",PICKLES: a Natural Language Framework for Requirement Specification and Model-Based Testing,https://api.semanticscholar.org/CorpusID:287902149,2026,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
85,"Haldar, Susmita; Capretz, Luiz Fernando",Automated test plan generation using large language models,https://api.semanticscholar.org/CorpusID:285806053,2026,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
86,"Mughal, Ali Hassaan",An Autonomous RL Agent Methodology for Dynamic Web UI Testing in a BDD Framework,https://api.semanticscholar.org/CorpusID:276929143,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
87,"Patel, Sagar B.; Nigam, Sajal; Mahale, Shrikanth",Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,https://api.semanticscholar.org/CorpusID:285110109,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
88,"Chu, Bei-juan; Feng, Yang; Liu, Kui; Guo, Zhaoqiang; Zhang, Yichi; Shi, Hange; Nan, Zifan; Xu, Baowen","Large Language Models for Unit Test Generation: Achievements, Challenges, and Opportunities",https://api.semanticscholar.org/CorpusID:284351336,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
89,"Chatterjee, Abhirup",Architecting A Behavior-Driven Test Automation Framework for CI/CD Environments,https://api.semanticscholar.org/CorpusID:287398739,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
90,"Chatterjee, Abhirup",AI driven Test Scenario Generator,https://api.semanticscholar.org/CorpusID:286610357,2025,Exclude,EXCLUDE,EC4
91,"Chouali, Samir; Carrillo, Oscar; Mountassir, Hassan",Specifying System Architecture from SysML Requirements and Component Interfaces,https://api.semanticscholar.org/CorpusID:31428293,2013,Exclude,EXCLUDE,EC4
92,"Huang, Donghao; Chew, Shila Shi Ler; Dutkiewicz, Anna; Wang, Zhaoxia","LLM-as-a-Judge for Scalable Test Coverage Evaluation: Accuracy, Operational Reliability, and Cost",https://api.semanticscholar.org/CorpusID:283450270,2025,String 3,EXCLUDE,EC4
93,"Rehan, Shaheer; Al-Bander, Baidaa; Ahmad, Amro Al-Said",Harnessing Large Language Models for Automated Software Testing: A Leap Towards Scalable Test Case Generation,https://api.semanticscholar.org/CorpusID:277587892,2025,Exclude,EXCLUDE,EC4
94,"Hachaïchi, Yassine; Ouerghi, Mohamed Amine",The Role of Machine Learning and Large Language Models in Software Testing and Validation,https://api.semanticscholar.org/CorpusID:285289128,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
95,"Bahaweres, Rizal Broer; Oktaviani, Elda; Wardhani, Luh Kesuma; Hermadi, I.; Suroso, Arif Imam; Solihin, Indra Permana; Arkeman, Yandra",Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,https://api.semanticscholar.org/CorpusID:232061840,2020,Exclude,EXCLUDE,EC4
96,"Sung, Sicheol; Aditi; kim, Dogyu; Han, Yo-Sub; Ko, Sang-Ki",LogiCase: Effective Test Case Generation from Logical Description in Competitive Programming,https://api.semanticscholar.org/CorpusID:278782542,2025,Exclude,EXCLUDE,EC4
97,"Murugan, S.; Balamurugan, M.",Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,https://api.semanticscholar.org/CorpusID:285291030,2025,String 3,EXCLUDE,EC4
98,"Xu, Jiacheng; Pang, Bo; Qu, Jin; Hayashi, Hiroaki; Xiong, Caiming; Zhou, Yingbo","CLOVER: A Test Case Generation Benchmark with Coverage, Long-Context, and Verification",https://api.semanticscholar.org/CorpusID:276317524,2025,String 3,EXCLUDE,EC4
99,"Sani, Balqees; Jan, Sadaqat",Empirical Analysis of Widely Used Website Automated Testing Tools,https://api.semanticscholar.org/CorpusID:273290520,2024,String 2,EXCLUDE,EC4
